"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"1","8,557","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/cdeotte","Chris Deotte","4 years ago","343","461","3993"
"2","5,650","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/hengck23","‎‎‎‎‎‎‎‎","9 years ago","403","454","2494"
"3","5,249","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/mpwolke","Marília Prata","3 years ago","57","91","8727"
"4","5,090","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/cpmpml","CPMP","10 years ago","440","567","4456"
"5","3,346","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/thedevastator","The Devastator","3 months ago","60","39","1447"
"6","2,450","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/carlmcbrideellis","Carl McBride Ellis","3 years ago","98","110","1275"
"7","2,439","https://www.kaggle.com/static/images/tiers/master@96.png","https://www.kaggle.com/ambrosm","AmbrosM","a year ago","52","52","367"
"8","2,180","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/remekkinas","Remek Kinas","2 years ago","66","29","860"
"9","2,154","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/usharengaraju","Tensor Girl","7 years ago","103","33","875"
"10","2,053","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/philippsinger","Psi","10 years ago","138","206","1060"
"11","1,962","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/vad13irt","Vadim Irtlach","2 years ago","67","32","639"
"12","1,901","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/dschettler8845","Darien Schettler","5 years ago","63","42","448"
"13","1,702","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/raddar","raddar","7 years ago","103","115","495"
"14","1,589","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/abhishek","Abhishek Thakur","12 years ago","147","148","892"
"15","1,416","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/lucamassaron","Luca Massaron","11 years ago","65","37","475"
